Name,Rating,About,Salaries
TCS,3.3,IT Services & Consulting | Bangalore / Bengaluru +437 other locations,1.1L
Accenture,3.7,IT Services & Consulting | Bangalore / Bengaluru +255 other locations,70.9k
Wipro,3.6,IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,62.9k
Cognizant,3.6,IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,59.8k
Capgemini,3.7,IT Services & Consulting | Bangalore / Bengaluru +183 other locations,51.4k
HDFC Bank,3.8,Banking | Mumbai +1817 other locations,50.4k
Infosys,3.5,IT Services & Consulting | Bangalore / Bengaluru +246 other locations,47.1k
ICICI Bank,4.0,Banking | Mumbai +1436 other locations,45.1k
HCLTech,3.4,IT Services & Consulting | Chennai +226 other locations,44.3k
Tech Mahindra,3.4,IT Services & Consulting | Hyderabad / Secunderabad +336 other locations,42.3k
Genpact,3.6,IT Services & Consulting | Hyderabad / Secunderabad +182 other locations,40.6k
Teleperformance,3.8,BPO | Mumbai +254 other locations,36.4k
Axis Bank,3.6,Banking | Mumbai +1497 other locations,32.2k
Jio,4.3,Telecom | Mumbai +1866 other locations,31.7k
Concentrix Corporation,3.6,BPO | Bangalore / Bengaluru +179 other locations,31.4k
Amazon,3.9,Internet | Bangalore / Bengaluru +521 other locations,30.6k
iEnergizer,4.6,BPO | Noida +51 other locations,27.4k
Reliance Retail,3.9,Retail | Mumbai +1149 other locations,26.9k
LTIMindtree,3.6,IT Services & Consulting | Bangalore / Bengaluru +146 other locations,25.7k
IBM,3.9,IT Services & Consulting | Bangalore / Bengaluru +160 other locations,25.2k
HDB Financial Services,3.9,NBFC | Mumbai +1086 other locations,25.1k
Larsen & Toubro Limited,3.9,Engineering & Construction | Chennai +753 other locations,23k
Deloitte,3.7,Management Consulting | Hyderabad / Secunderabad +187 other locations,22.3k
Kotak Mahindra Bank,3.6,Banking | Mumbai +681 other locations,21.8k
Reliance Industries,4.0,Oil & Gas | Jamnagar +812 other locations,19.7k
Vodafone Idea,3.9,Telecom | Pune +700 other locations,17.5k
Bharti Airtel,3.8,Telecom | Gurgaon / Gurugram +788 other locations,16.8k
BYJU'S,3.2,EdTech | Bangalore / Bengaluru +322 other locations,16.6k
WNS,3.3,IT Services & Consulting | Pune +65 other locations,14.7k
Tata Motors,4.1,Automobile | Pune +507 other locations,13.9k
IDFC FIRST Bank,3.9,Banking | Mumbai +710 other locations,13.8k
Ernst & Young,3.4,Management Consulting | Bangalore / Bengaluru +131 other locations,13.8k
IndusInd Bank,3.4,Banking | Mumbai +788 other locations,13.8k
AU Small Finance Bank,3.9,Banking | Jaipur +778 other locations,13.7k
Flipkart,3.9,Internet | Bangalore / Bengaluru +560 other locations,12.6k
Bajaj Finserv,3.9,NBFC | Pune +1160 other locations,12.5k
Muthoot FinCorp,4.5,NBFC | Bangalore / Bengaluru +1086 other locations,12k
PwC,3.3,Management Consulting | Bangalore / Bengaluru +132 other locations,11.9k
DXC Technology,3.6,IT Services & Consulting | Bangalore / Bengaluru +133 other locations,11.7k
Mahindra & Mahindra,4.0,Automobile | Pune +557 other locations,11.7k
Infosys BPM,3.5,BPO | Bangalore / Bengaluru +95 other locations,11.7k
HDFC Life,3.9,Insurance | Mumbai +695 other locations,11.7k
Bandhan Bank,3.7,Banking | Kolkata +991 other locations,10.6k
Conneqt Business Solutions,3.6,BPO | Hyderabad / Secunderabad +265 other locations,10.1k
Mphasis,3.3,IT Services & Consulting | Bangalore / Bengaluru +63 other locations,10k
Yes Bank,3.7,Banking | Mumbai +540 other locations,9.9k
Tata Steel,4.0,Iron & Steel | Jamshedpur +226 other locations,9.7k
Quess,3.8,Recruitment | Bangalore / Bengaluru +739 other locations,9.5k
Startek,3.1,BPO | Bangalore / Bengaluru +107 other locations,9.3k
Asian Paints,3.9,Chemicals | Mumbai +548 other locations,9.3k
UltraTech Cement,4.1,Building Material | Mumbai +532 other locations,9.1k
Paytm,3.2,FinTech | Noida +416 other locations,9.1k
Shriram Finance,4.0,NBFC | Chennai +1105 other locations,8.9k
Maruti Suzuki,4.2,Automobile | Gurgaon / Gurugram +445 other locations,8.8k
Bajaj Finance,3.9,NBFC | Pune +959 other locations,8.8k
Sutherland Global Services,3.4,BPO | Chennai +81 other locations,8.7k
Equitas Small Finance Bank,4.4,Banking | Chennai +472 other locations,8.6k
EXL Service,3.6,Analytics & KPO | Noida +63 other locations,8.5k
Cipla,4.1,Pharma | Mumbai +290 other locations,8.4k
Samsung,3.9,Consumer Electronics & Appliances | Noida +579 other locations,8.3k
Ericsson,4.0,Telecom | Noida +162 other locations,8.3k
Wells Fargo,3.7,Financial Services | Bangalore / Bengaluru +28 other locations,8.2k
Dr. Reddy's,4.0,Pharma | Hyderabad / Secunderabad +213 other locations,8.1k
Optum Global Solutions,4.0,IT Services & Consulting | Hyderabad / Secunderabad +68 other locations,7.7k
Delhivery,3.8,Logistics | Gurgaon / Gurugram +746 other locations,7.6k
ICICI Prudential Life Insurance,4.0,Insurance | Mumbai +504 other locations,7.6k
JPMorgan Chase & Co.,3.8,Financial Services | Bangalore / Bengaluru +55 other locations,7.6k
HGS,3.8,BPO | Bangalore / Bengaluru +121 other locations,7.5k
JSW Steel,3.9,Iron & Steel | Ballari +195 other locations,7.5k
Jana Small Finance Bank,3.8,Banking | Bangalore / Bengaluru +418 other locations,7.5k
Sun Pharmaceutical Industries,4.1,Pharma | Vadodara +263 other locations,7.4k
Amazon Development Centre India,3.8,Internet | Hyderabad / Secunderabad +146 other locations,7.4k
Hexaware Technologies,3.4,IT Services & Consulting | Chennai +66 other locations,7.4k
Ujjivan Small Finance Bank,4.0,Banking | Bangalore / Bengaluru +530 other locations,7.3k
Lupin,4.1,Pharma | Pune +203 other locations,7.2k
L&T Construction,4.0,Engineering & Construction | Chennai +428 other locations,7.2k
Zydus Lifesciences,3.9,Pharma | Ahmedabad +175 other locations,7.2k
Hindustan Unilever,4.2,FMCG | Mumbai +529 other locations,7.1k
Ekart Logistics,3.9,Logistics | Bangalore / Bengaluru +737 other locations,7.1k
KPMG India,3.4,Management Consulting | Bangalore / Bengaluru +111 other locations,7k
ITC,3.9,FMCG | Bangalore / Bengaluru +374 other locations,7k
Axis Max Life Insurance,4.0,Insurance | New Delhi +494 other locations,6.9k
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad / Secunderabad +406 other locations,6.7k
Tata Projects,4.2,Engineering & Construction | Mumbai +284 other locations,6.6k
Coforge,3.2,IT Services & Consulting | Noida +104 other locations,6.5k
FIS,3.8,FinTech | Pune +61 other locations,6.4k
